,age,workclass,fnlwgt,education,education_number,marriage,occupation,relationship,race,sex,capital_gain,apital_loss,hours_per_week,native_country,收入
0,39,5,77516,9,13,4,0,1,4,1,2174,0,40,38,0
1,50,4,83311,9,13,2,3,0,4,1,0,0,13,38,0
2,38,2,215646,11,9,0,5,1,4,1,0,0,40,38,0
3,53,2,234721,1,7,2,5,0,2,1,0,0,40,38,0
4,28,2,338409,9,13,2,9,5,2,0,0,0,40,4,0
5,37,2,284582,12,14,2,3,5,4,0,0,0,40,38,0
6,49,2,160187,6,5,3,7,1,2,0,0,0,16,22,0
7,52,4,209642,11,9,2,3,0,4,1,0,0,45,38,1
8,31,2,45781,12,14,4,9,1,4,0,14084,0,50,38,1
9,42,2,159449,9,13,2,3,0,4,1,5178,0,40,38,1
10,37,2,280464,15,10,2,3,0,2,1,0,0,80,38,1
11,30,5,141297,9,13,2,9,0,1,1,0,0,40,18,1
12,23,2,122272,9,13,4,0,3,4,0,0,0,30,38,0
13,32,2,205019,7,12,4,11,1,2,1,0,0,50,38,0
14,34,2,245487,5,4,2,13,0,0,1,0,0,45,25,0
15,25,4,176756,11,9,4,4,3,4,1,0,0,35,38,0
16,32,2,186824,11,9,4,6,4,4,1,0,0,40,38,0
17,38,2,28887,1,7,2,11,0,4,1,0,0,50,38,0
18,43,4,292175,12,14,0,3,4,4,0,0,0,45,38,1
19,40,2,193524,10,16,2,9,0,4,1,0,0,60,38,1
20,54,2,302146,11,9,5,7,4,2,0,0,0,20,38,0
21,35,0,76845,6,5,2,4,0,2,1,0,0,40,38,0
22,43,2,117037,1,7,2,13,0,4,1,0,2042,40,38,0
23,59,2,109015,11,9,0,12,4,4,0,0,0,40,38,0
24,56,1,216851,9,13,2,12,0,4,1,0,0,40,38,1
25,19,2,168294,11,9,4,2,3,4,1,0,0,40,38,0
26,39,2,367260,11,9,0,3,1,4,1,0,0,80,38,0
27,49,2,193366,11,9,2,2,0,4,1,0,0,40,38,0
28,23,1,190709,7,12,4,10,1,4,1,0,0,52,38,0
29,20,2,266015,15,10,4,11,3,2,1,0,0,44,38,0
30,45,2,386940,9,13,0,3,3,4,1,0,1408,40,38,0
31,30,0,59951,15,10,2,0,3,4,1,0,0,40,38,0
32,22,5,311512,15,10,2,7,0,2,1,0,0,15,38,0
33,48,2,242406,1,7,4,6,4,4,1,0,0,40,32,0
34,21,2,197200,15,10,4,6,3,4,1,0,0,40,38,0
35,19,2,544091,11,9,1,0,5,4,0,0,0,25,38,0
36,48,4,265477,7,12,2,9,0,4,1,0,0,40,38,0
37,31,2,507875,6,5,2,6,0,4,1,0,0,43,38,0
38,53,4,88506,9,13,2,9,0,4,1,0,0,40,38,0
39,24,2,172987,9,13,2,12,0,4,1,0,0,50,38,0
40,49,2,94638,11,9,5,0,4,4,0,0,0,40,38,0
41,25,2,289980,11,9,4,5,1,4,1,0,0,35,38,0
42,57,0,337895,9,13,2,9,0,2,1,0,0,40,38,1
43,53,2,144361,11,9,2,6,0,4,1,0,0,38,38,0
44,44,2,128354,12,14,0,3,4,4,0,0,0,40,38,0
45,41,5,101603,8,11,2,2,0,4,1,0,0,40,38,0
46,29,2,271466,8,11,4,9,1,4,1,0,0,43,38,0
47,25,2,32275,15,10,2,3,5,3,0,0,0,40,38,0
48,47,2,51835,14,15,2,9,5,4,0,0,1902,60,15,1
49,50,0,251585,9,13,0,3,1,4,1,0,0,55,38,1
50,47,3,109832,11,9,0,3,1,4,1,0,0,60,38,0
51,43,2,237993,15,10,2,12,0,4,1,0,0,40,38,1
52,46,2,216666,4,3,2,6,0,4,1,0,0,40,25,0
53,35,2,56352,8,11,2,7,0,4,1,0,0,40,32,0
54,41,2,147372,11,9,2,0,0,4,1,0,0,48,38,0
55,30,2,188146,11,9,2,6,0,4,1,5013,0,40,38,0
56,30,2,59496,9,13,2,11,0,4,1,2407,0,40,38,0
57,48,2,149640,11,9,2,13,0,4,1,0,0,40,38,0
58,42,2,116632,10,16,2,9,0,4,1,0,0,45,38,1
59,29,2,105598,15,10,0,12,1,4,1,0,0,58,38,0
60,36,2,155537,11,9,2,2,0,4,1,0,0,40,38,0
61,28,2,183175,15,10,0,0,1,4,0,0,0,40,38,0
62,53,2,169846,11,9,2,0,5,4,0,0,0,40,38,1
63,49,3,191681,15,10,2,3,0,4,1,0,0,50,38,1
64,19,2,101509,15,10,4,9,3,4,1,0,0,32,38,0
65,31,2,309974,9,13,5,11,3,2,0,0,0,40,38,0
66,29,4,162298,9,13,2,11,0,4,1,0,0,70,38,1
67,23,2,211678,15,10,4,6,1,4,1,0,0,40,38,0
68,79,2,124744,15,10,2,9,2,4,1,0,0,20,38,0
69,27,2,213921,11,9,4,7,3,4,1,0,0,40,25,0
70,40,2,32214,7,12,2,0,0,4,1,0,0,40,38,0
71,18,2,309634,1,7,4,7,3,4,0,0,0,22,38,0
72,31,1,125927,5,4,2,4,0,4,1,0,0,40,38,0
73,18,2,446839,11,9,4,11,1,4,1,0,0,30,38,0
74,52,2,276515,9,13,2,7,0,4,1,0,0,40,4,0
75,46,2,51618,11,9,2,7,5,4,0,0,0,40,38,0
76,59,2,159937,11,9,2,11,0,4,1,0,0,48,38,0
77,44,2,343591,11,9,0,2,1,4,0,14344,0,40,38,1
78,53,2,346253,11,9,0,11,3,4,0,0,0,35,38,0
79,49,1,268234,11,9,2,10,0,4,1,0,0,40,38,1
80,33,2,202051,12,14,2,9,0,4,1,0,0,50,38,0
81,30,2,54334,6,5,4,11,1,4,1,0,0,40,38,0
82,43,0,410867,10,16,4,9,1,4,0,0,0,50,38,1
83,57,2,249977,8,11,2,9,0,4,1,0,0,40,38,0
84,37,2,286730,15,10,0,2,4,4,0,0,0,40,38,0
85,28,2,212563,15,10,0,6,4,2,0,0,0,25,38,0
86,34,1,226296,9,13,2,10,0,4,1,0,0,40,38,1
87,29,1,115585,15,10,4,5,1,4,1,0,0,50,38,0
88,48,4,191277,10,16,2,9,0,4,1,0,1902,60,38,1
89,37,2,202683,15,10,2,11,0,4,1,0,0,48,38,1
90,48,2,171095,7,12,0,3,4,4,0,0,0,40,8,0
91,32,0,249409,11,9,4,7,3,2,1,0,0,40,38,0
92,76,2,124191,12,14,2,3,0,4,1,0,0,40,38,1
93,44,2,198282,9,13,2,3,0,4,1,15024,0,60,38,1
94,47,4,149116,12,14,4,9,1,4,0,0,0,50,38,0
95,20,2,188300,15,10,4,12,3,4,0,0,0,40,38,0
96,29,2,103432,11,9,4,2,1,4,1,0,0,40,38,0
97,32,3,317660,11,9,2,2,0,4,1,7688,0,40,38,1
98,30,2,194901,1,7,4,5,3,4,1,0,0,40,38,0
99,31,1,189265,11,9,4,0,1,4,0,0,0,40,38,0
100,42,2,124692,11,9,2,5,0,4,1,0,0,40,38,0
101,24,2,432376,9,13,4,11,2,4,1,0,0,40,38,0
102,38,2,65324,14,15,2,9,0,4,1,0,0,40,38,1
103,56,4,335605,11,9,2,7,0,4,1,0,1887,50,1,1
104,28,2,377869,15,10,2,11,5,4,0,4064,0,25,38,0
105,36,2,102864,11,9,4,6,3,4,0,0,0,40,38,0
106,53,2,95647,6,5,2,5,0,4,1,0,0,50,38,0
107,56,3,303090,15,10,2,11,0,4,1,0,0,50,38,0
108,49,1,197371,8,11,2,2,0,2,1,0,0,40,38,1
109,55,2,247552,15,10,2,11,0,4,1,0,0,56,38,0
110,22,2,102632,11,9,4,2,1,4,1,0,0,41,38,0
111,21,2,199915,15,10,4,7,3,4,0,0,0,40,38,0
112,40,2,118853,9,13,2,3,0,4,1,0,0,60,38,0
113,30,2,77143,9,13,4,3,3,2,1,0,0,40,10,0
114,29,5,267989,9,13,2,9,0,4,1,0,0,50,38,1
115,19,2,301606,15,10,4,7,3,2,1,0,0,35,38,0
116,47,2,287828,9,13,2,3,5,4,0,0,0,40,38,1
117,20,2,111697,15,10,4,0,3,4,0,0,1719,28,38,0
118,31,2,114937,7,12,2,0,0,4,1,0,0,40,38,1
119,39,2,365739,15,10,0,2,1,4,1,0,0,40,38,0
120,28,2,69621,7,12,4,11,1,4,0,0,0,60,38,0
121,24,2,43323,11,9,4,7,1,4,0,0,1762,40,38,0
122,38,4,120985,11,9,2,2,0,4,1,4386,0,35,38,0
123,37,2,254202,9,13,2,11,0,4,1,0,0,50,38,0
124,46,2,146195,7,12,0,12,1,2,0,0,0,36,38,0
125,38,0,125933,12,14,2,9,0,4,1,0,0,40,19,1
126,43,4,56920,11,9,2,2,0,4,1,0,0,60,38,0
127,27,2,163127,8,11,2,0,5,4,0,0,0,35,38,0
128,20,2,34310,15,10,4,11,3,4,1,0,0,20,38,0
129,49,2,81973,15,10,2,2,0,1,1,0,0,40,38,1
130,61,3,66614,11,9,2,2,0,4,1,0,0,40,38,0
131,27,2,232782,15,10,4,11,3,4,0,0,0,40,38,0
132,19,2,316868,15,10,4,7,3,4,1,0,0,30,25,0
133,45,2,196584,8,11,4,9,1,4,0,0,1564,40,38,1
134,70,2,105376,15,10,4,12,2,4,1,0,0,40,38,0
135,31,2,185814,11,9,4,13,4,2,0,0,0,30,38,0
136,22,2,175374,15,10,2,7,0,4,1,0,0,24,38,0
137,36,2,108293,11,9,6,7,4,4,0,0,0,24,38,0
138,64,2,181232,1,7,2,2,0,4,1,0,2179,40,38,0
139,47,1,186009,15,10,0,0,4,4,0,0,0,38,25,0
140,34,2,198183,11,9,4,0,1,4,0,0,0,40,38,0
141,33,2,163003,9,13,4,3,2,1,0,0,0,40,29,0
142,21,2,296158,11,9,4,2,3,4,1,0,0,35,38,0
143,48,2,187715,11,9,2,2,0,4,1,0,0,46,38,0
144,23,2,214542,9,13,4,5,1,4,1,0,0,40,38,0
145,71,4,494223,15,10,5,11,4,2,1,0,1816,2,38,0
146,29,2,191535,11,9,0,2,1,4,1,0,0,60,38,0
147,42,2,228456,9,13,5,7,2,2,1,0,0,50,38,0
148,25,2,252752,11,9,4,7,4,4,0,0,0,40,38,0
149,44,3,78374,12,14,0,3,4,1,0,0,0,40,38,0
150,28,2,88419,11,9,4,3,1,1,0,0,0,40,8,0
151,45,4,201080,12,14,2,11,0,4,1,0,0,40,38,1
152,36,2,207157,15,10,0,7,4,4,0,0,0,40,25,0
153,39,0,235485,7,12,4,3,1,4,1,0,0,42,38,0
154,46,5,102628,12,14,6,10,4,4,1,0,0,40,38,0
155,18,2,25828,1,7,4,5,3,4,1,0,0,16,38,0
156,66,1,54826,8,11,6,9,1,4,0,0,0,20,38,0
157,27,2,124953,11,9,4,7,1,4,1,0,1980,40,38,0
158,28,5,175325,11,9,2,10,0,4,1,0,0,40,38,0
159,51,2,96062,15,10,2,11,0,4,1,0,1977,40,38,1
160,27,2,428030,9,13,4,2,1,4,1,0,0,50,38,0
161,28,5,149624,9,13,2,9,0,4,1,0,0,40,38,1
162,27,2,253814,11,9,3,11,4,4,0,0,0,25,38,0
163,21,2,312956,11,9,4,2,3,2,1,0,0,40,38,0
164,34,2,483777,11,9,4,5,1,2,1,0,0,40,38,0
165,18,2,183930,11,9,4,7,3,4,1,0,0,12,38,0
166,33,2,37274,9,13,2,9,0,4,1,0,0,65,38,0
167,44,1,181344,15,10,2,3,0,2,1,0,0,38,38,1
168,43,2,114580,15,10,0,0,1,4,0,0,0,40,38,0
169,30,2,633742,15,10,4,2,1,2,1,0,0,45,38,0
170,40,2,286370,5,4,2,6,0,4,1,0,0,40,25,1
171,37,0,29054,15,10,2,0,0,4,1,0,0,42,38,1
172,34,2,304030,11,9,2,0,0,2,1,0,0,40,38,0
173,41,4,143129,9,13,0,3,1,4,0,0,0,40,38,0
174,31,2,99928,12,14,2,9,5,4,0,0,0,50,38,0
175,58,5,109567,10,16,2,9,0,4,1,0,0,1,38,1
176,38,2,155222,15,10,0,6,1,2,0,0,0,28,38,0
177,24,2,159567,15,10,2,6,0,4,1,0,0,40,38,0
178,41,1,523910,9,13,2,2,0,2,1,0,0,40,38,0
179,47,2,120939,15,10,2,12,0,4,1,0,0,45,38,0
180,41,0,130760,9,13,2,12,0,4,1,0,0,24,38,0
181,23,2,197387,4,3,2,13,2,4,1,0,0,40,25,0
182,36,2,99374,15,10,0,2,1,4,1,0,0,40,38,0
183,40,0,56795,12,14,4,3,1,4,0,14084,0,55,38,1
184,35,2,138992,12,14,2,9,2,4,1,7298,0,40,38,1
185,24,4,32921,11,9,4,11,1,4,1,0,0,40,38,0
186,26,2,397317,12,14,4,9,1,4,0,0,1876,40,38,0
187,51,2,259323,9,13,2,3,0,4,1,0,0,50,38,1
188,42,1,254817,15,10,4,9,1,4,0,0,1340,40,38,0
189,37,5,48211,11,9,0,0,4,4,0,0,0,35,38,0
190,18,2,140164,1,7,4,11,3,4,0,0,0,40,38,0
191,36,2,128757,9,13,2,7,0,2,1,7298,0,36,38,1
192,35,2,36270,11,9,0,2,1,4,1,0,0,60,38,0
193,58,3,210563,11,9,2,11,5,4,0,15024,0,35,38,1
194,17,2,65368,1,7,4,11,3,4,0,0,0,12,38,0
195,44,1,160943,11,9,2,13,0,2,1,0,0,40,38,0
196,37,2,208358,11,9,2,2,0,4,1,0,0,40,38,1
197,35,2,153790,15,10,4,11,1,0,0,0,0,40,38,0
198,60,2,85815,11,9,2,2,0,1,1,0,0,40,38,0
199,54,3,125417,5,4,2,6,0,4,1,0,0,40,38,1
200,37,2,635913,9,13,4,3,1,2,1,0,0,60,38,1
201,50,2,313321,7,12,0,11,1,4,0,0,0,40,38,0
202,38,2,182609,9,13,2,11,0,4,1,0,0,50,30,0
203,45,2,109434,9,13,2,9,0,4,1,0,0,55,38,0
204,25,2,255004,0,6,4,2,1,4,1,0,0,40,38,0
205,31,2,197860,15,10,2,5,0,4,1,0,0,40,38,0
206,90,2,51744,11,9,4,7,1,2,1,0,2206,40,38,0
207,54,2,176681,11,9,2,0,0,2,1,0,0,20,38,0
208,53,1,140359,13,1,4,6,1,4,0,0,0,35,38,0
209,18,2,243313,11,9,4,11,3,4,0,0,0,40,38,0
210,66,4,167687,11,9,2,4,0,4,1,1409,0,50,38,0
211,75,2,314209,8,11,6,0,1,4,0,0,0,20,3,0
212,65,2,176796,11,9,0,0,1,4,0,0,0,40,38,0
213,35,2,538583,1,7,5,13,1,2,1,3674,0,40,38,0
214,41,2,130408,11,9,0,11,4,2,0,0,0,38,38,0
215,25,2,159732,15,10,4,0,1,4,1,0,0,42,38,0
216,33,2,110978,15,10,0,2,2,3,0,0,0,40,38,0
217,28,2,76714,14,15,4,9,1,4,1,0,0,55,38,1
218,59,5,268700,11,9,2,7,0,4,1,0,0,40,38,0
219,40,5,170525,15,10,4,0,1,4,0,0,0,38,38,0
220,41,2,180138,9,13,2,3,0,4,1,0,0,50,19,1
221,38,1,115076,12,14,2,3,0,4,1,0,0,70,38,1
222,23,2,115458,11,9,4,13,3,4,1,0,0,40,38,0
223,40,2,347890,9,13,2,9,0,4,1,0,0,40,38,1
224,41,4,196001,11,9,2,7,5,4,0,0,0,20,38,0
225,24,5,273905,7,12,2,10,0,4,1,0,0,50,38,0
226,38,2,179488,15,10,0,2,1,4,1,0,1741,40,38,0
227,58,2,236596,11,9,2,0,0,4,1,0,0,45,38,1
228,32,2,183916,11,9,4,7,1,4,0,0,0,34,38,0
229,40,2,207578,7,12,2,12,0,4,1,0,1977,60,38,1
230,41,2,112763,14,15,2,9,5,4,0,0,0,40,38,1
231,42,2,390781,9,13,2,0,5,2,0,0,0,40,38,0
232,59,1,171328,0,6,6,7,4,2,0,0,0,30,38,0
233,19,1,27382,15,10,4,0,3,4,1,0,0,40,38,0
234,58,2,259014,15,10,4,13,1,4,1,0,0,20,38,0
235,42,4,303044,11,9,2,4,0,1,1,0,0,40,0,1
236,20,2,117789,11,9,4,7,3,4,0,0,0,40,38,0
237,32,2,172579,11,9,5,7,1,4,0,0,0,30,38,0
238,45,2,187666,8,11,6,3,1,4,0,0,0,45,38,0
239,50,2,204518,5,4,0,2,1,4,1,0,0,40,38,0
240,36,2,150042,9,13,0,9,3,4,0,0,0,40,38,0
241,45,2,98092,11,9,2,11,0,4,1,0,0,60,38,0
242,17,2,245918,1,7,4,7,3,4,1,0,0,12,38,0
243,59,2,146013,15,10,2,11,0,4,1,4064,0,40,38,0
244,26,2,378322,1,7,2,2,0,4,1,0,0,40,38,0
245,37,3,257295,15,10,2,3,0,1,1,0,0,75,36,1
246,64,2,21174,11,9,2,3,0,4,1,0,0,40,38,1
247,33,2,185480,9,13,4,9,1,4,0,0,0,45,38,0
248,33,2,222205,11,9,2,2,5,4,0,0,0,40,38,1
249,61,2,69867,11,9,2,3,0,4,1,0,0,40,38,1
250,17,2,191260,6,5,4,7,3,4,1,1055,0,24,38,0
251,50,4,30653,12,14,2,4,0,4,1,2407,0,98,38,0
252,27,1,209109,12,14,4,9,3,4,1,0,0,35,38,0
253,30,2,70377,11,9,0,9,3,4,0,0,0,40,38,0
254,43,2,477983,11,9,2,5,0,2,1,0,0,40,38,0
255,44,2,170924,15,10,2,2,0,4,1,7298,0,40,38,1
256,35,2,190174,15,10,4,3,1,4,0,0,0,40,38,0
257,25,2,193787,15,10,4,12,3,4,0,0,0,40,38,0
258,24,2,279472,15,10,2,6,5,4,0,7298,0,48,38,1
259,22,2,34918,9,13,4,9,1,4,0,0,0,15,10,0
260,42,1,97688,15,10,2,2,0,4,1,5178,0,40,38,1
261,34,2,175413,7,12,0,11,4,2,0,0,0,45,38,0
262,60,2,173960,9,13,0,9,1,4,0,0,0,42,38,0
263,21,2,205759,11,9,4,5,3,4,1,0,0,40,38,0
264,57,0,425161,12,14,2,11,0,4,1,15024,0,40,38,1
265,41,2,220531,14,15,2,9,0,4,1,0,0,60,38,1
266,50,2,176609,15,10,0,7,1,4,1,0,0,45,38,0
267,25,2,371987,9,13,4,3,1,4,0,0,0,40,38,0
268,50,2,193884,5,4,2,2,0,4,1,0,0,40,6,0
269,36,2,200352,9,13,2,9,0,4,1,0,0,45,38,0
270,31,2,127595,11,9,0,9,1,4,0,0,0,40,38,0
271,29,1,220419,9,13,4,10,1,4,1,0,0,56,38,0
272,21,2,231931,15,10,4,11,3,4,1,0,0,45,38,0
273,27,2,248402,9,13,4,12,4,2,0,0,0,40,38,0
274,65,2,111095,11,9,2,13,0,4,1,0,0,16,38,0
275,37,3,57424,9,13,0,11,1,4,0,0,0,60,38,0
276,24,2,278130,11,9,4,2,3,4,1,0,0,40,38,0
277,38,2,169469,11,9,0,11,1,4,1,0,0,80,38,0
278,48,2,146268,9,13,2,0,0,4,1,7688,0,40,38,1
279,21,2,153718,15,10,4,7,1,1,0,0,0,25,38,0
280,31,2,217460,11,9,2,13,0,4,1,0,0,45,38,1
281,55,2,238638,11,9,2,11,0,4,1,4386,0,40,38,1
282,24,2,303296,15,10,2,0,5,1,0,0,0,40,24,0
283,43,2,173321,11,9,0,0,1,4,0,0,0,40,38,0
284,26,2,193945,7,12,4,12,1,4,1,0,0,45,38,0
285,46,2,83082,7,12,4,9,1,4,0,0,0,33,38,0
286,35,2,193815,7,12,2,0,0,4,1,0,0,40,38,1
287,41,3,34987,15,10,2,4,0,4,1,0,0,54,38,1
288,26,2,59306,9,13,4,11,1,4,1,0,0,40,38,0
289,34,2,142897,12,14,2,3,0,1,1,7298,0,35,35,1
290,36,4,205607,9,13,0,9,1,2,0,0,0,40,38,1
291,22,2,199698,15,10,4,11,3,4,1,0,0,15,38,0
292,24,2,191954,15,10,4,6,1,4,1,0,0,40,38,0
293,77,4,138714,15,10,2,11,0,4,1,0,0,40,38,0
294,22,2,399087,4,3,2,6,2,4,0,0,0,40,25,0
295,29,2,423158,15,10,4,12,1,4,0,0,0,40,38,0
296,62,2,159841,11,9,6,7,1,4,0,0,0,24,38,0
297,39,4,174308,11,9,2,3,0,4,1,0,0,40,38,0
298,43,2,50356,15,10,2,2,0,4,1,0,1485,50,38,0
299,35,2,186110,11,9,0,13,1,4,1,0,0,45,38,0
300,29,2,200381,1,7,4,3,1,4,0,0,0,40,38,0
301,76,4,174309,12,14,2,2,0,4,1,0,0,10,38,0
302,63,4,78383,11,9,2,4,0,4,1,0,0,45,38,0
303,43,2,187728,15,10,2,9,5,4,0,0,1887,50,38,1
304,58,4,321171,11,9,2,5,0,4,1,0,0,40,38,0
305,66,2,127921,11,9,4,13,1,4,1,2050,0,55,38,0
306,41,2,206565,15,10,4,2,1,2,1,0,0,45,38,0
307,26,2,224563,9,13,4,0,1,4,1,0,0,40,38,0
308,47,2,178686,8,11,4,7,1,4,1,0,0,40,38,0
309,55,1,98545,0,6,2,0,0,4,1,0,0,40,38,0
310,53,2,242606,11,9,2,13,0,4,1,0,0,40,38,0
311,17,2,270942,4,3,4,7,2,4,1,0,0,48,25,0
312,30,2,94235,11,9,4,2,2,4,1,0,0,40,38,0
313,49,2,71195,12,14,4,9,1,4,1,0,0,60,38,0
314,19,2,104112,11,9,4,11,4,2,1,0,0,30,13,0
315,45,2,261192,11,9,2,7,0,2,1,0,0,40,38,0
316,26,2,94936,7,12,4,11,1,4,1,0,0,40,38,0
317,38,2,296478,8,11,2,2,0,4,1,7298,0,40,38,1
318,36,5,119272,11,9,2,10,0,4,1,7298,0,40,38,1
319,33,2,85043,11,9,4,4,1,4,1,0,0,20,38,0
320,22,5,293364,15,10,4,10,3,2,0,0,0,40,38,0
321,43,4,241895,9,13,4,11,1,4,1,0,0,42,38,0
322,56,2,101128,7,12,3,7,1,4,1,0,0,25,19,0
323,31,2,156464,9,13,4,9,3,4,1,0,0,25,38,0
324,33,2,117963,9,13,2,3,0,4,1,0,0,40,38,1
325,26,2,192262,11,9,2,7,0,4,1,0,0,40,38,0
326,33,2,111363,9,13,2,3,0,4,1,0,0,40,38,1
327,46,1,329752,1,7,2,13,0,4,1,0,0,30,38,0
328,38,0,95432,11,9,2,0,0,4,1,0,0,40,38,1
329,65,2,161400,1,7,6,7,4,3,1,0,0,40,38,0
330,40,2,96129,8,11,2,12,0,4,1,0,0,40,38,1
331,42,2,111949,11,9,2,0,5,4,0,0,0,35,38,0
332,26,4,117125,6,5,2,2,0,4,1,0,0,40,31,0
333,36,2,348022,0,6,2,7,5,4,0,0,0,24,38,0
334,62,2,270092,12,14,2,9,0,4,1,0,0,40,38,1
335,43,2,180609,9,13,2,13,0,4,1,0,0,45,38,0
336,43,2,174575,9,13,0,3,1,4,1,0,1564,45,38,1
337,22,2,410439,11,9,3,11,1,4,1,0,0,55,38,0
338,28,2,92262,11,9,2,2,0,4,1,0,0,40,38,0
339,56,4,183081,15,10,2,11,0,4,1,0,0,45,38,0
340,22,2,362589,7,12,4,11,1,4,0,0,0,15,38,0
341,57,2,212448,9,13,0,3,1,4,0,0,0,45,38,1
342,39,2,481060,11,9,0,11,4,4,0,0,0,40,38,0
343,26,0,185885,15,10,4,0,4,4,0,0,0,15,38,0
344,17,2,89821,1,7,4,7,3,4,1,0,0,10,38,0
345,40,5,184018,8,11,2,6,0,4,1,0,0,38,38,1
346,45,2,256649,11,9,2,6,0,2,1,0,0,40,38,0
347,44,2,160323,11,9,4,2,1,2,1,0,0,40,38,0
348,20,1,350845,15,10,4,0,3,4,0,0,0,10,38,0
349,33,2,267404,11,9,2,2,5,4,0,0,0,40,38,0
350,23,2,35633,15,10,4,11,1,4,1,0,0,40,38,0
351,46,4,80914,12,14,0,3,1,4,1,0,0,30,38,0
352,38,2,172927,11,9,2,11,0,4,1,0,0,50,38,0
353,54,2,174319,11,9,0,13,1,4,1,0,0,40,38,0
354,46,2,214955,4,3,0,2,1,4,0,0,2339,45,38,0
355,25,2,344991,15,10,2,2,0,4,1,0,0,40,38,0
356,46,2,108699,15,10,0,11,1,4,0,0,0,40,38,0
357,36,1,117312,15,10,2,13,5,4,0,0,0,40,38,0
358,23,2,396099,11,9,4,7,1,4,0,0,0,25,38,0
359,29,2,134152,11,9,5,6,1,4,1,0,0,40,38,0
360,44,2,162028,15,10,2,0,5,4,0,0,2415,6,38,1
361,19,2,25429,15,10,4,0,3,4,0,0,0,16,38,0
362,19,2,232392,11,9,4,7,2,4,0,0,0,40,38,0
363,35,2,220098,11,9,2,7,5,4,0,0,0,40,38,1
364,27,2,301302,9,13,4,2,1,4,1,0,0,50,38,0
365,46,4,277946,7,12,5,2,1,4,1,0,0,40,38,0
366,34,2,196164,11,9,4,7,1,4,0,0,0,35,38,0
367,44,2,115562,15,10,2,12,0,4,1,0,0,40,38,0
368,45,2,96975,15,10,0,5,4,4,0,0,0,40,38,0
369,25,2,86872,9,13,2,3,0,4,1,0,0,55,38,1
370,52,3,132178,9,13,2,3,0,4,1,0,0,50,38,1
371,20,2,416103,15,10,4,5,3,4,1,0,0,40,38,0
372,28,2,108574,15,10,4,7,1,4,0,0,0,40,38,0
373,50,5,288353,9,13,2,10,0,4,1,0,0,40,38,1
374,34,2,227689,8,11,0,12,1,4,0,0,0,64,38,0
375,28,2,166481,5,4,2,5,0,3,1,0,2179,40,32,0
376,41,2,445382,12,14,2,3,0,4,1,0,1977,65,38,1
377,28,2,110145,11,9,2,0,0,4,1,0,0,40,38,0
